data,query proportion,NMI,ARI,ASW label,ASW batch,PCR,ILS,GRA,score,f1 weighted,f1 macro,cost
pancreas,0.2,0.945482027838865,0.9734871164159352,0.8373229205608368,0.8785914845748426,0.747732364301141,0.7701361096567578,0.9779412480158434,0.8758133244806032,0.9872204988895728,0.9353047241596278,429.13473629951477
pancreas,0.5,0.921878274296151,0.9556578035445271,0.8120611608028412,0.8261401786333984,0.5819369228308576,0.5,0.9763508327557991,0.7962893104090821,0.9682546082776081,0.814293023305915,379.5289731025696
pancreas,0.8,0.9194466666429116,0.955406917773814,0.7841677069664001,0.8382773390912346,0.6191278797430306,0.4616871848702431,0.9511613014789667,0.789896428080943,0.9657781061791229,0.8173362445346363,365.94942474365234
lung,0.2,0.8280512834433825,0.7711871971994334,0.6530462056398392,0.7454344869823362,0.8031738662378682,0.733392558991909,0.9812760455037972,0.7879373777140809,0.8420985070071714,0.7540639291981406,779.099301815033
lung,0.5,0.8083132668935715,0.686404133381914,0.6683809161186218,0.7574576189483537,0.3482581243185631,0.8262516856193542,0.9682767673055914,0.7233346446551386,0.8129071482315745,0.730146564530824,730.4250700473785
lung,0.8,0.7360823160758295,0.551027412869981,0.5708575993776321,0.7839064839112079,0.102516373195127,0.7764693796634674,0.9545131306490431,0.6393389565346126,0.7557618602457159,0.6340761009029559,729.0317509174347
immune,0.2,0.8125238043027193,0.7592906139349623,0.5933554172515869,0.6996373274307129,0.4379006829215839,0.6111056133173406,0.939753651693344,0.69336673012175,0.715952028170176,0.6356767192744968,785.8843848705292
immune,0.5,0.7821494364676507,0.7575033768237094,0.5741938129067421,0.8137698050756877,0.6668314194481249,0.6099461851020654,0.9423076620703558,0.7352430996991908,0.7201945310914298,0.7362166186067836,763.5060610771179
immune,0.8,0.6724617966206312,0.5987772625690008,0.5715635791420937,0.8847416532572346,0.8424499118028653,0.4433648372069001,0.8931297055261465,0.7009269637321245,0.6008902245529254,0.40746004917536005,653.3651309013367
brain,0.2,0.6249455096559725,0.8481678293750187,0.6784402430057526,,0.1251277344681912,0.5544327262789011,0.8933906800246199,0.6207507871347427,0.895625010422394,0.46039578041021,1152.266744852066
brain,0.5,0.8403217650095478,0.9351187979036693,0.7029121369123459,0.6369272125535415,0.9487942017156455,0.7776864767074585,0.8772421324280029,0.8170003890328872,0.9509775039918934,0.6920333231442696,1192.9060039520264
brain,0.8,0.7996875316940709,0.7741032105926917,0.6694568544626236,0.790198358857843,0.09549994502334389,0.7578961849212646,0.9497532859385686,0.690942195927201,0.8640579975121704,0.5746428707071761,1228.2968440055847
