,data,query proportion,NMI,ARI,ASW label,ASW batch,PCR,ILS,GRA,score,f1 weighted,f1 macro,cost
0,pancreas,0.2,0.9130635507140855,0.9446323883474775,0.8022201061248779,0.8060140363776633,0.9549706438934967,0.5,0.9714056976558637,0.8417580604447806,0.9595698199203266,0.8839908286113919,952.1500220298767
1,pancreas,0.5,0.9171652919067397,0.9429058487331393,0.8004411160945892,0.8290562544246617,0.6358835312858206,0.6195850297808647,0.9533064629029104,0.8140490764469608,0.9687324618456621,0.8781678565120111,898.7706782817841
2,pancreas,0.8,0.9061298389802858,0.9470801513646773,0.7171569466590881,0.8596850206039991,0.6198176899964235,0.48409421741962433,0.9611156605939702,0.7850113608025813,0.9388458042204586,0.6877829794627107,951.7321939468384
3,lung,0.2,0.718215300614147,0.7242563364494852,0.6057485267519951,0.6724298686629369,0.626513739058514,0.513292009010911,0.9271875543076696,0.6839490478365227,0.7139376929498379,0.5916375970888545,1790.2554562091827
4,lung,0.5,0.8281038760141365,0.696127969046829,0.6696260124444962,0.8232988835417778,0.5325400139265152,0.8151597678661346,0.9420080148970355,0.7581235053909892,0.8638836130707775,0.7797013157056695,1786.3058564662933
5,lung,0.8,0.7122865801337989,0.5434629414287359,0.5937777608633041,0.80378847652019,0.2422794219833315,0.6060181278735399,0.9132979551038407,0.6307016091295344,0.6912531735383896,0.49043996354032315,1795.8249235153198
6,immune,0.2,0.7948551230837935,0.7470399176104288,0.5795293971896172,0.6434593301069405,0.5958445441252803,0.6145365855967005,0.9438503881172229,0.7027307551185691,0.7002852775218587,0.6951664602573434,1941.6641924381256
7,immune,0.5,0.8256447799627363,0.7963243374924787,0.6240173056721687,0.8640193051026406,0.5555843806598649,0.6883669719099998,0.9518789443882678,0.7579765750268795,0.7035161442866038,0.6156705927875176,2030.53968334198
8,immune,0.8,0.7960465647687042,0.7425292681817566,0.6121083274483681,0.789406631632745,0.8125275771896259,0.64531543944031,0.9438089513308874,0.7631061085703426,0.7449718227736966,0.7371272381401197,1660.7919273376465
9,brain,0.2,0.8987652228325188,0.9593293539176061,0.7662895619869232,,,0.7739512957632542,0.9127997580704191,0.8622270385141443,0.9624931153055426,0.6838161784781528,2986.210779905319
10,brain,0.5,0.7819525874177473,0.908819076809778,0.641711562871933,0.462946144533781,0.611077413240656,0.6605672478675843,0.9433007083744783,0.7157678201594225,0.8864616835195297,0.6351264050627856,2812.4883980751038
11,brain,0.8,0.7971046454239806,0.7841425915590358,0.7659117877483368,0.6710468828887741,0.3325215739671293,0.8720139861106873,0.9382926083832952,0.7372905822973198,0.9331201111670139,0.7780988236523481,2780.0750329494476
