data,method,query proportion,latent dimension,layers number,flows layers number,s dimension proportion,lambda kl,lambda sparsity,lambda mask,dropout,normalisation,learning rate,flows,recon loss,NMI,ARI,ASW label,ASW batch,PCR,ILS,GRA,score,cost
pancreas,iVAE,0.2,10,4,2,0.5,1,0,0,0.05,,0.0001,quadraticspine,mse,0.731637383,0.655883898,0.468008023,0.91338318,0.983682128,0.65458706,0.786418884,0.741942937,733.3042171
pancreas,iVAE,0.2,10,4,2,0.5,1,0,0,0.05,batch,0.0005,quadraticspine,mse,0.731637383,0.655883898,0.454941113,0.929754222,0.981461336,0.594758898,0.786418884,0.733550819,817.600214
pancreas,iVAE,0.2,10,4,2,0.2,1,0,0,0,batch,0.0005,quadraticspine,mse,0.731637383,0.655883898,0.485881057,0.891865571,0.826333202,0.718468994,0.786418884,0.728069856,356.3556879
pancreas,iVAE,0.2,10,4,2,0.5,1,0.001,0,0,batch,0.0001,quadraticspine,mse,0.731637383,0.655883898,0.492573509,0.893066569,0.892870797,0.618202612,0.786418884,0.724379093,1102.672655
pancreas,iVAE,0.2,10,4,2,0.2,0.1,0.001,0,0.05,,0.0005,quadraticspine,mse,0.731637383,0.655883898,0.449774478,0.932875269,0.997983574,0.506059188,0.786418884,0.722947525,573.738554
pancreas,iVAE,0.2,10,4,2,0.2,1,0.001,0,0.05,,0.0001,quadraticspine,mse,0.731637383,0.655883898,0.444437917,0.930633439,0.99881109,0.502900887,0.786418884,0.721531928,631.5362072
pancreas,iVAE,0.2,10,4,2,0.5,1,0.001,0,0.05,,0.0005,quadraticspine,mse,0.731637383,0.655883898,0.453003284,0.938609113,0.998738879,0.474570744,0.786418884,0.719837455,937.2241151
pancreas,iVAE,0.2,10,4,2,0.5,1,0.001,0,0,batch,0.0005,quadraticspine,mse,0.731637383,0.655883898,0.454296984,0.906679888,0.970894184,0.524839524,0.786418884,0.718664392,1096.073669
pancreas,iVAE,0.2,10,4,2,0.2,0.1,0.001,0,0.05,,0.0001,quadraticspine,mse,0.731637383,0.655883898,0.408898503,0.89770038,0.993721042,0.540083408,0.786418884,0.716334785,586.7238131
pancreas,iVAE,0.2,10,4,2,0.2,1,0.001,0,0.05,,0.0005,quadraticspine,mse,0.731637383,0.655883898,0.452683985,0.929250055,0.999973964,0.439047799,0.786418884,0.713556567,580.9772873
pancreas,iVAE,0.2,10,4,2,0.2,0.1,0.001,0,0.05,batch,0.0001,quadraticspine,mse,0.731637383,0.655883898,0.450232409,0.899418349,0.900735935,0.570232101,0.786418884,0.713508423,659.9524379
pancreas,iVAE,0.2,10,4,2,0.5,1,0.001,0,0,,0.0005,quadraticspine,mse,0.731637383,0.655883898,0.476126164,0.893366675,0.9355189,0.515339116,0.786418884,0.713470146,917.185811
